Gene	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos
COX6A1	2168.06334682857	1302.8109438	1596.89925	1449.56385762857	3956.082432875	2649.288069125	2047.344449625	1794.100886225	2121.78278975
FAM62B	1206.2727303	624.54823155	752.909672275	682.633326128571	1860.8351935	1778.732043375	386.473520825	767.2817296625	826.6208709
MRPL27	1223.6962023	797.23358355	727.043321625	468.028886585714	1696.56057	1444.255901175	1284.091695675	491.7828924875	730.8353863
PSMB5	2025.77367727143	1525.94002705	964.12477885	1527.62391385714	3574.042201	2456.7759513875	1918.70056775	1741.631427875	1244.4573438
MAMDC2	1945.22276464429	182.7152835425	249.080649755	43.1624293312857	3051.6072114875	3432.50110090125	214.1678864865	81.213100585	53.3036438525
SUCNR1	589.186337785714	165.939619515	865.532736325	41.0632928634286	1470.62386545	1816.0961068125	127.60191882	55.49594017125	213.794524705
PTH2R	451.786436971429	106.053744005	150.565243005	30.6638047235714	792.470142275	729.0073864125	163.333194225	40.83255467525	25.9051149995
C3AR1	605.023823185714	48.302518655	213.67077054	42.1329301832857	911.2572116875	770.84219981375	38.24402221	33.1028216775	66.6245643125
AGR2	54.05075415	32.753583125	55.9308827975	8.83996842514286	208.958312514	1474.48268001775	36.3248705425	14.74914781	64.77104351775
HIST1H3D	1155.60364611429	199.8252520075	48.8436200375	89.9357266642857	1554.89226727375	1984.71955115	204.26231985	127.73733195125	105.2314378275
IGSF10	727.6705929	265.5273909	202.66159559	182.255839306429	803.6912568	1351.7179633	83.6526762175	171.1647869275	186.36953567
LPXN	2922.40505171429	386.432362625	1212.1196634	522.463064242857	4238.66056975	5942.037556375	731.52340105	550.980439375	1022.6783848
CD33	783.396231405714	326.374658165	467.873949375	395.203522287143	1627.058869875	1978.3663997125	25.32063611	392.200454875	623.8452788
CFP	1012.19457281429	73.98025281	187.27719379	224.415265742857	1253.289850775	1599.5922949375	175.5111866325	253.9222024	268.7699263
PARP8	593.053215214286	374.77953915	476.83187875	229.237278942857	1048.2148856875	1381.0946400125	219.6404801875	164.48320523125	123.5137474425
IL1RAP	237.465090242571	86.82229173	198.88574975625	91.3267885067857	616.48063966875	597.49631929375	88.022300045875	99.3866857776875	195.66558912125
RHOB	286.827171204286	55.781008225	90.995739955	69.2493106385714	234.2376853725	340.417228825	59.56815796	62.28750657125	24.510314615
FLJ14213	211.623179854286	242.924019575	135.318002835	285.096155171429	1305.22036842375	1440.798903425	108.59390256	256.325233175	476.1002932
ZNF185	967.242977604286	543.7721279825	1040.80698075	620.930139514286	2226.6899777125	2643.41814375	237.6388953225	536.03597435	456.217341825
OBFC2A	480.875430814286	117.859079235	213.05188637	240.271129514286	710.7944579375	951.859794825	116.5731572475	209.5142867375	277.536302925
C12orf5	335.713986457143	144.80663124	82.7691352125	170.115625165714	467.2022452625	632.8159099875	79.3673180625	169.18170312375	314.55850934
